91.08	17.35
86.23	17.48
84.96	18.3
85.5	19.64
84.57	20.51
89.28	13.18
81.75	22.97
80.53	25.88
82.73	25.64
82.77	27.26
84.73	27.39
89.05	26.04
67.74	34.69
69.53	15.67
85.4	26.19
92.07	30.77
96.77	27.81
90.44	12.62
81.05	-13.15
88.91	152.92
88.87	146.18
87.61	144.58
86.36	143.21
84.68	143.05
83.35	142.01
82.3	140.48
80.61	140.26
81.25	135.97
85.37	139.6
83.06	137.61
81.41	137.08
79.74	136.23
78.31	135.95
76.93	135.75
75.63	135.8
74.4	136.26
73.22	137.45
71.94	138.08
70.55	136.71
69.31	124.39
10.34	157.1
6.38	143.74
6.44	140.29
5.82	138.85
5.42	137.14
4.89	135.87
3.99	135.33
2.55	135.65
1.83	134.79
0.46	134.85
0.02	133.64
-2.8	135.28
-19.51	151.75
76.79	130.09
72.41	130.73
68.67	131.26
68.13	132.59
67.1	133.74
66.48	135.01
65.33	136.04
64.99	137.42
65.06	139.05
64.08	140.12
62.99	141.11
60.28	140.94
8.04	150.56
9.23	146.73
9.14	144.96
8.98	143.41
8.66	142.15
7.57	141.74
6.74	141.04
5.52	140.69
3.55	140.89
-1.65	143.44
-74.72	97.31
-61.96	98.63
-48.7	101.02
-43.69	101.64
-43.34	100.88
-42.75	100.22
-41.88	99.71
-42.87	98.33
-54.22	91.19
-105.12	136.95
-107.39	136.83
-110.17	135.75
-111.52	136.68
-113.5	136.51
-114.68	137.68
-115.95	138.74
-115.98	142.72
-115.8	141.69
-118.52	141.75
-120.83	141.75
-121.46	142.13
-121.81	142.58
-122.24	142.99
-122.46	143.47
-123.5	143.55
-122.75	144.52
-122.74	145.15
-122.53	145.93
-121.99	146.99
-121.95	147.77
-121.55	148.88
-109.4	160.02
-201.28	120.4
-207.63	173.03
-202.53	170.37
-203.24	169.4
-203.31	168.28
-202.87	167.1
-210.98	166.93
-212.95	120.94
-215.26	176.89
-204.44	169.84
-200.91	167.01
-200.48	165.77
-202.65	165.54
-203.81	164.83
-213.92	166.63
-231.7	169.6
-214.83	121.98
-211.31	122.71
-210.27	121.34
-208.37	120.84
-208.0	118.75
-206.43	117.93
-203.91	118.38
-117.61	219.76
-121.76	220.21
-124.01	221.08
-125.16	222.27
-124.59	224.19
-124.27	226.1
-126.21	226.87
-129.98	226.45
-144.41	242.57
-148.08	238.73
-149.58	238.61
-151.11	238.29
-152.19	238.93
-153.33	239.45
-154.5	239.9
-155.63	240.51
-157.29	239.02
-186.97	258.1
-186.69	252.71
-188.27	251.82
-189.41	250.16
-195.57	257.16
-186.97	254.7
-188.21	251.52
-189.43	248.99
-190.68	247.0
-193.24	248.81
-196.54	251.93
-229.2	174.24
-215.0	178.96
-212.45	178.56
-211.17	177.57
-208.97	177.22
-217.8	169.44
-124.88	153.42
-124.18	158.87
-122.92	159.72
-121.65	160.37
-120.22	160.35
-118.83	160.56
-117.82	161.87
-116.45	162.11
-114.27	160.54
-102.33	234.52
-108.87	228.37
-110.79	227.85
-112.89	226.86
-114.2	226.94
-115.2	227.5
-115.85	228.77
-116.8	229.51
-118.1	229.47
-118.78	230.97
-117.9	237.41
-55.25	173.02
-60.85	180.14
-62.2	182.59
-63.02	184.38
-63.24	185.54
-62.84	186.17
-62.8	187.03
-62.8	187.89
-62.47	188.53
-61.71	188.93
-61.21	189.49
-60.76	190.1
-59.59	190.42
-58.69	190.92
-57.88	191.5
-58.29	192.46
-55.17	192.51
